[INFO ] 2024-04-07 11:38:16.557 edu.tongji.backend.BackendApplicationTests logStarting 50 [main] ------ Starting BackendApplicationTests using Java 17.0.9 with PID 7948 (started by Administrator in D:\IDEAProj\Tangxiaozhi_Sports_Backend) 
[DEBUG] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStarting 51 [main] ------ Running with Spring Boot v3.2.1, Spring v6.1.2 
[INFO ] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStartupProfileInfo 668 [main] ------ The following 1 profile is active: "pro" 
[INFO ] 2024-04-07 11:38:19.995 edu.tongji.backend.BackendApplicationTests logStarted 56 [main] ------ Started BackendApplicationTests in 3.782 seconds (process running for 4.64) 
[DEBUG] 2024-04-07 11:38:21.052 edu.tongji.backend.mapper.RunningMapper.selectList debug 135 [main] ------ ==>  Preparing: SELECT exercise_id,pace,distance FROM running 
[TRACE] 2024-04-07 11:38:21.127 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2120, 810, 0.02 
[TRACE] 2024-04-07 11:38:21.127 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2121, 781, 0.03 
[TRACE] 2024-04-07 11:38:21.127 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2122, 679, 0.02 
[TRACE] 2024-04-07 11:38:21.127 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2123, 473, 0.02 
[TRACE] 2024-04-07 11:38:21.127 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2124, 252, 0.01 
[TRACE] 2024-04-07 11:38:21.128 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2125, 272, 0.02 
[TRACE] 2024-04-07 11:38:21.128 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2126, 261, 0.02 
[TRACE] 2024-04-07 11:38:21.128 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2127, 804, 0.01 
[TRACE] 2024-04-07 11:38:21.128 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2128, 667, 0.03 
[TRACE] 2024-04-07 11:38:21.128 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2129, 822, 0.03 
[TRACE] 2024-04-07 11:38:21.129 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2130, 743, 0.03 
[TRACE] 2024-04-07 11:38:21.129 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2131, 899, 0.00 
[TRACE] 2024-04-07 11:38:21.129 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2132, 435, 0.01 
[TRACE] 2024-04-07 11:38:21.129 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2133, 731, 0.03 
[TRACE] 2024-04-07 11:38:21.129 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2134, 834, 0.00 
[TRACE] 2024-04-07 11:38:21.129 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2135, 389, 0.04 
[TRACE] 2024-04-07 11:38:21.130 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2136, 426, 0.02 
[TRACE] 2024-04-07 11:38:21.130 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2137, 855, 0.03 
[TRACE] 2024-04-07 11:38:21.130 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2138, 320, 0.03 
[TRACE] 2024-04-07 11:38:21.130 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2139, 723, 0.04 
[TRACE] 2024-04-07 11:38:21.130 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2140, 875, 0.03 
[TRACE] 2024-04-07 11:38:21.131 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2142, 742, 0.01 
[TRACE] 2024-04-07 11:38:21.131 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2143, 200, 0.02 
[TRACE] 2024-04-07 11:38:21.131 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2144, 842, 0.03 
[TRACE] 2024-04-07 11:38:21.131 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2145, 522, 0.03 
[TRACE] 2024-04-07 11:38:21.131 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2164, 871, 0.03 
[TRACE] 2024-04-07 11:38:21.132 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2165, 856, 0.03 
[TRACE] 2024-04-07 11:38:21.132 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2166, 672, 0.04 
[TRACE] 2024-04-07 11:38:21.132 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2168, 191, 0.03 
[TRACE] 2024-04-07 11:38:21.132 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2169, 753, 0.01 
[TRACE] 2024-04-07 11:38:21.132 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2170, 428, 0.01 
[TRACE] 2024-04-07 11:38:21.132 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2173, 346, 0.03 
[TRACE] 2024-04-07 11:38:21.133 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2174, 477, 0.02 
[TRACE] 2024-04-07 11:38:21.133 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2175, 435, 0.02 
[TRACE] 2024-04-07 11:38:21.133 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2176, 455, 0.02 
[TRACE] 2024-04-07 11:38:21.133 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2177, 524, 0.02 
[TRACE] 2024-04-07 11:38:21.133 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2178, 470, 0.01 
[TRACE] 2024-04-07 11:38:21.133 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2179, 801, 0.02 
[TRACE] 2024-04-07 11:38:21.134 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2180, 722, 0.01 
[TRACE] 2024-04-07 11:38:21.134 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2181, 496, 0.01 
[TRACE] 2024-04-07 11:38:21.134 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2182, 491, 0.03 
[TRACE] 2024-04-07 11:38:21.134 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2183, 449, 0.01 
[TRACE] 2024-04-07 11:38:21.134 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2184, 623, 0.03 
[TRACE] 2024-04-07 11:38:21.135 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2186, 746, 0.03 
[TRACE] 2024-04-07 11:38:21.135 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2187, 882, 0.01 
[TRACE] 2024-04-07 11:38:21.135 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2190, 356, 0.03 
[TRACE] 2024-04-07 11:38:21.136 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2191, 396, 0.01 
[TRACE] 2024-04-07 11:38:21.136 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2192, 376, 0.03 
[TRACE] 2024-04-07 11:38:21.136 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2193, 643, 0.02 
[TRACE] 2024-04-07 11:38:21.136 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2194, 384, 0.02 
[TRACE] 2024-04-07 11:38:21.136 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2214, 242, 0.01 
[TRACE] 2024-04-07 11:38:21.137 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2215, 233, 0.02 
[TRACE] 2024-04-07 11:38:21.137 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2216, 704, 0.08 
[TRACE] 2024-04-07 11:38:21.137 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2217, 743, 0.04 
[TRACE] 2024-04-07 11:38:21.137 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2218, 723, 0.06 
[TRACE] 2024-04-07 11:38:21.137 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2219, 0, 0.00 
